A[edit]
Aborted[1]
ACxDC[2]
Agathocles[3]
Agoraphobic Nosebleed[4]
Anal Cunt[5]
Antigama[6]
Asesino[7]
Assück[8]
Autopsy[9]
B[edit]
The Berzerker[10]
Blood Duster[11]
Bolt Thrower[12]
Brain Drill[13]
Brodequin[14]
Brujeria[15]
Brutal Truth[16]
C[edit]
Caninus[9]
Carcass[17][18][19]
Cattle Decapitation[18][20]
Cephalic Carnage[21]
Circle of Dead Children[22]
Cock and Ball Torture[14]
Condemned[23]
Converge
The County Medical Examiners[24][25]
D[edit]
Dahmer[26]
Damaged[27]
Dance Club Massacre[28]
Daughters[29]
Dead Infection[14]
Defecation[30]
Devourment[31]
The Dillinger Escape Plan [32]
Discordance Axis[33]
Dying Fetus[34]
E[edit]
Ed Gein[35]
Electro Hippies[36]
Exhumed[9]
Extreme Noise Terror[37]
Extreme Smoke[38]
F[edit]
Fantômas[39]
Fuck the Facts[40]
G[edit]
General Surgery[14][41][42]
Genghis Tron[43]
Godflesh[44]
Gore Beyond Necropsy[45]
Gridlink[46]
Gut[47]
H[edit]
Haemorrhage[48]
Hatebeak[9]
Head of David[49]
Head Wound City[50]
Hellnation[51]
Holocausto Canibal[52]
Human Remains[53]
I[edit]
Impaled[9]
Impetigo[54]
In Strict Confidence[55]
L[edit]
Last Days of Humanity[56]
Liberteer[57]
Lock Up[9][58]
The Locust[59][60]
M[edit]
Macabre[61]
Meathook Seed[62]
Misery Index[63]
Mortician[64]
Mortification[65]
N[edit]
Nails[66]
Naked City[67]
Napalm Death[68]
Nasum[69]
The Number Twelve Looks Like You[70][71]
O[edit]
Old Lady Drivers[72]
P[edit]
Painkiller[73]
Phantomsmasher[74]
Phobia[75]
Pig Destroyer[76]
R[edit]
The Red Chord[77][78]
Regurgitate[79]
Repulsion[80]
Rotten Sound[81]
S[edit]
See You Next Tuesday[82][83]
Sore Throat[84]
Success Will Write Apocalypse Across the Sky [85]
T[edit]
Terrorizer[86]
The Tony Danza Tapdance Extravaganza[87]
Totem Skin[88]
Trap Them[89]
U[edit]
Unholy Grave[90]
W[edit]
War from a Harlots Mouth[91]
Wormrot[92]
X[edit]
Xysma[93]
