After the Burial
The Afterimage 
Animals as Leaders
Born of Osiris
The Contortionist 
Elitist  
Erra  
Fellsilent  
Forevermore  
Hacktivist  
Intervals  
Invent, Animate 
Meshuggah  
Monuments  
Periphery  
Scale the Summit
Skyharbor  
Tesseract  
Textures  
Veil of Maya
Vildhjarta  
Volumes  
