"100 Demons
"
"108
"
"25 ta Life
"
"36 Crazyfists[1]
"
"50 Lions [2]
"
"7 Angels 7 Plagues
"
"Abandon All Ships
"
"The Acacia Strain
"
"Across Five Aprils
"
"Adept
"
"Advent
"
"Affiance
"
"After the Burial
"
"The Afterimage
"
"Aftershock
"
"The Agonist
"
"The Agony Scene
"
"Alesana
"
"Alien Weaponry
"
"All Pigs Must Die
"
"All That Remains[3][4][5]
"
"Alpha Wolf
"
"Amaranthe
"
"Amatory
"
"American Me
"
"American Standards
"
"The Amity Affliction
"
"ANeurisma
"
"Annisokay
"
"Antagonist
"
"Antagonist A.D.
"
"Arcane Roots
"
"Architect
"
"Architects
"
"Arma Angelus
"
"The Armed
"
"Arsonists Get All the Girls
"
"The Arusha Accord
"
"As I Lay Dying
"
"As They Sleep
"
"The Ascendicate
"
"Asking Alexandria[6][7]
"
"Asunto
"
"Atreyu[8]
"
"Attack Attack![9]
"
"Attila[10][11][12][13]
"
"August Burns Red[14][15][16][17]
"
"Avenged Sevenfold[18][19]
"
"AWS
"
"AxeWound
"
"Bad Omens
"
"Beartooth
"
"Becoming the Archetype
"
"Behold... The Arctopus
"
"Beloved
"
"Beneath the Sky
"
"Betraying the Martyrs
"
"Between the Buried and Me
"
"Betzefer
"
"Bishop
"
"Black Veil Brides[20]
"
"Blakfish
"
"The Bled
"
"Bleed from Within
"
"Bleed the Sky
"
"Bleeding Through
"
"Blessed by a Broken Heart
"
"Blessthefall[21]
"
"Blind Myself
"
"Blind Witness
"
"Blood Has Been Shed
"
"Bloodlined Calligraphy
"
"Botch
"
"Born from Pain
"
"Born of Osiris
"
"A Breach of Silence
"
"Breather Resist
"
"Bring Me the Horizon[22][23][24]
"
"Broken Teeth[25]
"
"The Browning
"
"Bullet for My Valentine[26][27][28]
"
"A Bullet for Pretty Boy
"
"Burden of a Day
"
"Burgerkill
"
"Buried in Verona
"
"Burnt by the Sun
"
"Burst
"
"Bury Tomorrow[29]
"
"Bury Your Dead
"
"Butcher Babies
"
"Cable
"
"Caliban
"
"Called to Arms
"
"Cancer Bats
"
"Candiria
"
"Cane Hill
"
"Capture
"
"Carajo
"
"Carpathian
"
"Cataract
"
"Catherine
"
"Cave In
"
"Century
"
"Changer
"
"The Chariot
"
"Chasing the Rise
"
"Chimaira
"
"Chunk! No, Captain Chunk![30]
"
"Coalesce
"
"Code Orange[31][32][33]
"
"Coldrain
"
"The Color Morale
"
