220 Volt
44 Magnum
A II Z
Accept[8]
AC/DC
Aerosmith[10]
Alice Cooper[9][11]
Angel
Ángeles del Infierno
Angel Witch
Anthem
Anthrax
Anvil
Armageddon
Atomic Mass
Atomic Rooster
Atomkraft
Attila
Axe
Babe Ruth
Bang[12]
Barnabas
Barón Rojo
Battleaxe
Bengal Tigers
Beowülf
Birth Control
Bitch
Black Death
Black 'n Blue
Black Rose
Black Sabbath[13]
Black Widow
Bleak House
Blind Illusion
Blitzkrieg
Bloodrock
Blue Cheer[14]
Blue Öyster Cult[15]
Bodine
Boss
Bow Wow[16]
Bronz
Edgar Broughton Band
Budgie[17]
Buffalo[18][19]
Bulldozer
Cactus[20]
Captain Beyond
Chateaux
Cirith Ungol
Cloven Hoof
Coven
Crimson Glory
Crushed Butler
Death SS
Dedringer
Deep Machine
Deep Purple
Def Leppard
Demon
The Deviants
Diamond Head
Die Krupps
Divlje Jagode
Dokken
Doro
Dust
Earthshaker
Easy Action
E.F. Band
Electric Sun
Elf
Ethel the Frog
Europe
Exciter
Fallout
Fist
Flotsam and Jetsam
Flower Travellin' Band[22]
The Flying Hat Band
Lita Ford
Gamma
Geordie
Gillan
Girl
Girlschool
Gordi
Grand Funk Railroad[23][24][25]
Grave Digger
Gravestone
Great White
Grim Reaper
The Gun
Sammy Hagar
The Handsome Beasts
Hanoi Rocks
Hard Stuff
Hawkwind
Headpins
Heaven
Heavy Load
Heavy Metal Kids
Helix
Jimi Hendrix
High Tide
Hollow Ground
Holocaust
Holy Moses
Icon
Iron Butterfly[22]
Iron Claw
"Iron Maiden
"
Jag Panzer
Jaguar
Jameson Raid
Jerusalem
Josefus
JPT Scare Band
Judas Priest
Kat
Kerber
Kick Axe
Killer
Killer Dwarfs
Killing Joke
King's X
Kiss
Kix
Krokus
Leaf Hound
Leatherwolf
Led Zeppelin[26]
Lee Aaron
Legs Diamond
Leño
Leviticus
Lionheart
Living Death
London
Lone Star
Los Suaves
Loudness
Lynyrd Skynyrd
Lucifer's Friend[28]
Mahogany Rush
Malice
Yngwie Malmsteen
Mama's Boys
Manilla Road
Manowar
Marseille
Max Webster
May Blitz
MC5
Mentors
Mercyful Fate
Metal Church
Metallica
Ministry
Misfits
Montrose
More
Mötley Crüe
Motörhead
Mountain[29]
Moxy
Nazareth
Necromandus[22][30]
The Next Band
Nightmare
Night Sun[31]
Nightwing
Ted Nugent[32][33]
The Obsessed
Ozzy Osbourne
Ostrogoth
Oz
Pagan Altar
Pantera
Pentagram
Persian Risk
Picture
Pink Fairies
Praying Mantis
Pretty Maids
Primevil
Quartz
Queensrÿche[34]
Quiet Riot
Rainbow
Ratt
Raven
Riot
Rock Goddess
Rok Mašina
Rose Tattoo
Uli Jon Roth
Rough Cutt
The Runaways
Running Wild
Rush
Saber Tiger
Sacred Rite
Saint
Saint Vitus
Salem
Samson
Satan
Savage
Savage Grace
Savatage
Saxon
Michael Schenker Group
Scorpions
Shark Island
Sir Lord Baltimore
Sister
Skitzo
Sorcery
Sortilège
Sound Barrier
Spinal Tap
Spider
Stampede
Starz
Steeler
Steppenwolf
The Stooges
Stormwitch
Stray
Suck
Suicidal Tendencies
Sweet Savage
Tank
Tarantula
Tesla
Thin Lizzy
Thor
TKO
Toad
Tobruk
Trance
Trespass
Triumph
Trooper
Trust
TSA
Tucky Buzzard
Turbo
Twisted Sister
Tygers of Pan Tang
Tytan
UFO
Urchin
Uriah Heep
V8
Vandenberg
Van Halen
Vanilla Fudge[35]
Vardis
Venom
Vicious Rumors
Virgin Steele
Vulcain
Warning
Warpig
White Sister
Whitesnake
White Spirit
White Wolf
Wild Dogs
Wild Horses
Witchfinder General
Witchfynde
Wrathchild
Wrathchild America
Y&T
Zebra
Zoetrope
