     
     
38th Parallel[5]    
3rd Root[6]    
'68[7]     
7 Angels 7 Plagues[8]  
     
     
     
Ace Augustine[9]    
Advent[10]     
Akissforjersey[11]     
Alove for Enemies[12][13]   
Altars[14]     
Ambassadors of Shalom[15]   
Anberlin[16]     
And Then There Were None (early)[17]
The Appleseed Cast[18][19]   
Ark of the Covenant[20]  
Artifex Pereo[21][22]    
As Hell Retreats[23]   
As They Sleep[24]   
The Ascendicate[25][26]    
At the Throne of Judgment[27] 
Attalus[28]     
August Burns Red[29][30]   
     
     
     
Beartooth[31]     
Becoming the Archetype[32]   
Becoming Saints[33]    
Before Their Eyes[34]   
Behold the Kingdom[35]   
Being as an Ocean[36]  
Beloved[37][38]     
Benea Reach[39][40][41]    
Besieged[42]     
Betraying the Martyrs[43]   
The Blamed[44][45]    
Blenderhead[46]     
Blessed by a Broken Heart[47][48] 
Blessthefall[49][50][51]     
Blindside[52][53]     
Bloodline Severed[54]    
Bloodlined Calligraphy[note 1][56]   
Bloodshed[57]     
The Blue Letter[58]   
Born Blind[59]    
Brandtson[60][61]     
A Bullet for Pretty Boy[62] 
Burden of a Day[1][63]  
Burn It Down[64]   
     
     
     
Call to Preserve[65]   
Callisto[66]     
The Chariot[67][68][69]    
Chasing Victory[70]    
Christ's Sake[71]    
The Classic Crime[72]   
Clear Convictions[73]    
Close Your Eyes[74]   
The Color Morale[75]   
Colossus[76]     
Comeback Kid[77]    
Comrades[78]     
Confide[79]     
Conveyer[80]     
Convictions[81]     
Corpus Christi[82]    
Crashdog[83]     
Creations[84]     
Cries Hannah[85]    
The Crimson Armada[86][87]   
The Crucified[88][89]    
Cry of the Afflicted[90]  
     
     
     
Darkness Divided[91]    
Day of Vengeance[92]   
Dead Poetic[93][94]    
Dear Ephesus[95]    
Debtor[96]     
Demise of Eros[97]   
Demon Hunter[98]    
Dependency[99]     
Destroy the Runner[100][101]   
The Devil Wears Prada[102][103][104]  
Disciple (early)[105]    
Divide the Sea[106]   
Dizmas (early)[107]    
Dogwood[108]     
Doomsday Hymn[109]    
Dynasty[110]     
     
     
     
Earth Groans    
East West[111][112][113]    
Edison Glass[114]    
Embodiment 12:14[115]    
Embodyment[47]     
Emery[53]     
Enlow[116]     
Eso-Charis[117][118]     
Everdown[119][120][121]     
Every Day Life[122][123]   
Every Knee Shall Bow[124]  
Everything in Slow Motion[125]  
Extol[126]     
     
     
     
Falling Cycle[127]    
Fallstar[128]     
Family Force 5[129]   
The Famine[130]    
Far-Less[131]     
Fasedown[132]     
Few Left Standing[133]   
Fight the Fury   
Figure Four[134]    
Final Surrender[135]    
Fireflight (early)[136][137]    
Fit for a King[138]  
Flee the Seen[139][140]   
Flyleaf[141]     
Focused[142][143]     
For All Eternity[144]   
For the Fallen Dreams[145]  
For Today[30]    
Foreknown[146]     
Forever Changed[147]    
ForeverAtLast[148]     
Forevermore[149]     
Forfeit Thee Untrue[150]   
Further Seems Forever[151][152]   
     
     
     
The Gentleman Homicide[153]   
Gideon[154]     
Glass Casket[155]    
Grace Like Winter[156]   
The Great Commission[10]   
Gwen Stacy[157]    
     
     
     
Hands[158][159]     
The Handshake Murders[160]   
Haste the Day[53][161][162][163]   
He Is Legend[164][165]   
Headnoise[166]     
Hearts Like Lions[167]   
Here I Come Falling[168]  
A Hill to Die Upon (early)[169]
The Hoax[170]    
Hope For The Dying[171]  
Hopesfall[172]     
Hotel Books[173]    
Hundredth[174]     
     
     
     
I Am Alpha and Omega[175] 
I Am Empire[176]   
I Am Terrified[177]   
I, the Breather[178]   
Impending Doom[47]    
In the Midst of Lions[179][180] 
Inhale Exhale[181][182]    
Inked In Blood[183]   
Ironwill[184]     
Islander[185]     
Ivoryline[186]     
     
     
     
Jamie's Elsewhere[187]    
Jawbone[188]     
Jesus Wept[189]    
Judgement X Day[190]   
The Juliana Theory[191]   
Justifide[192][193][194]     
     
     
     
Kids in the Way[195][196]  
Kingston Falls[197]    
     
     
     
Lament[198][199]     
Leaders[200]     
Left Out[45]    
Letter to the Exiles[note 2][202] 
Life in Your Way[note 3][204] 
Living Sacrifice[118][143]    
Lucerin Blue[205]    
Lust Control[206]    
Luti-Kriss[207]     
     
     
     
Manafest[208][209]     
Maranatha[210]     
Maylene and the Sons of Disaster[211]
Means[212]     
Memphis May Fire[213]   
Metanoia[214]     
Mindrage[215]     
Misery Chastain[216]    
Mortal Treason[217]    
Mortification[218]     
My Heart to Fear[219]  
MyChildren MyBride[220]    
     
     
     
Nailed Promise[215]    
New Waters[221]    
Ninety Pound Wuss[222]   
No Innocent Victim[223][143]   
