         
         
36 Crazyfists[2][3]        
         
         
         
Abandon All Ships[4]       
A Day to Remember[5][6][7]      
Adept[8]         
AFI[9]         
Aiden[10][11][12][13]         
...And You Will Know Us by the Trail of Dead[14]
Alesana[15]         
Alexisonfire[16]         
Alive Like Me[17]       
The Almost[18]        
American Standards[19][20]        
The Amity Affliction[21]       
Annisokay[22]         
As Cities Burn[23]       
Asking Alexandria[24]        
At the Drive-In[25][26]       
Attack Attack![27]        
         
         
         
Bastro[28]         
Before Their Eyes[29]       
Being as an Ocean[30][31]      
Beloved[32]         
Biffy Clyro[33]        
Big Black[26][34]        
Billy Talent[35]        
Birds in Row[36]       
Bitch Magnet[28]        
Black Eyes[37]        
Black Veil Brides[38]       
The Blackout[39]        
The Bled[40]        
Blessthefall[41]         
Blindside[42][43]         
The Blood Brothers[44]       
Bluetip[45][46][47]         
Boxcar Racer[48]        
Boysetsfire[49][50]         
Brand New[51][52]        
Breach[53]         
Bring Me the Horizon[54]      
Bullet for My Valentine[55]      
Burning Airlines[26][56]        
Bury Tomorrow[57][58]        
         
         
         
Cap'n Jazz[59]        
Cave In[60]        
Chavez[26]         
Chiodos[61]         
Chunk! No, Captain Chunk![62][63]      
Circle Takes The Square[64]      
City of Caterpillar[65]       
The Classic Crime[66]       
Cloud Nothings[67][68]        
Code Orange[69][70]        
Coldrain[71][72][73]         
Converge[74][75][76]         
Crown the Empire[77]       
The Crownhate Ruin[45]       
Cursive[78][79]         
         
         
         
Dance Club Massacre[80]       
Dance Gavin Dance[81][82][83][84]       
Dayshell[85]         
Dead Poetic[86]        
Decyfer Down[87]        
Deftones[88][89]         
The Dismemberment Plan[26][90][91]       
Dizmas[92]         
Drive Like Jehu[26][45][93]       
Drop Dead, Gorgeous[94]       
Drunk Tank[95]        
         
         
         
Edison Glass[96]        
The Effigies[34]        
Egg Hunt[97]        
Emarosa[98]         
Embrace[99][100]         
Emery[87]         
Enter Shikari[101]        
Envy[102]         
Escape the Fate[103][104]       
Every Time I Die[105]      
Eyes Set to Kill[106][107][108]      
         
         
         
         
The Fall of Troy[109]      
Falling in Reverse[110][111][112][113]       
Family Force 5[114]       
Famous Last Words[115]       
Faraquet[26][116]         
Farewell, My Love[117]       
Fear, and Loathing in Las Vegas[118]    
Fightstar[119][120][121]         
Finch[122]         
Fjørt[123]         
Flee the Seen[124]       
Flyleaf[125]         
Frodus[126]         
From Autumn to Ashes[127]      
From First to Last[128][129]      
Fugazi[45][130]         
Funeral for a Friend[131]      
         
         
         
Gallows[132]         
The Getaway Plan[133]       
Get Scared[134]        
Girls Against Boys[26][135]       
Glassjaw[136]         
         
         
         
Hail the Sun[137]       
Hands Like Houses[138]       
Hawthorne Heights[139][140][141]        
Heaven in Her Arms[142]      
Helmet[143][144][145][146]         
Hopesfall[147]         
Hot Water Music[148]       
Hum[149]         
Hundred Reasons[150]        
         
         
         
I Am Empire[151]       
I Prevail[152]        
I Set My Friends on Fire[153][154]    
In Fear and Faith[155]      
Inhale Exhale[156]        
         
         
         
Jamie's Elsewhere        
Jawbox[26]         
The Jesus Lizard[26][45]       
         
         
         
Karp[45]         
         
         
         
La Dispute[157]        
Leathermouth[158]         
