       
       
10 Minute Warning     
108       
100 Demons      
25 ta Life     
50 Lions      
7 Seconds      
       
       
       
AC4       
The Accüsed      
Adolescents       
Against       
Agent Orange      
Agnostic Front      
American Nightmare      
American Standards      
Angry Samoans      
Angst       
Anti-Cimex       
Anti-Everything       
Anti-Feminism       
Anti-Flag       
Anti-Nowhere League      
Anti-Pasti       
Antidote       
Antisect       
Armia       
Arms Race[1][2]      
Arson Anthem      
Articles of Faith     
Assjack       
Attitude Adjustment      
Awkward Thought      
       
       
Bad Brains      
       
Backstabbers Incorporated      
Bad Brains      
Bad Religion      
Bags       
Bane       
Battalion of Saints     
Battery       
Bayonet       
Beartooth       
Big Boys      
Big Cheese[3]      
Black Flag      
Black Market Baby     
Blast       
Break Even      
The Blood      
Blood for Blood     
Born Against      
Born from Pain     
Borscht       
Botch       
Broken Bones      
The Brat      
Broken Teeth[4]      
The Bronx      
Brutal Knights      
Bullet Treatment      
Bunchofuckingoofs       
Burn       
Burning Sensations      
       
       
       
Cancer Bats      
Career Suicide      
Carpathian       
Casey Jones      
The Casualties      
Cerebral Ballzy      
Chain of Strength     
Champion       
Chaos UK      
Channel 3      
Charged GBH      
Chokehold       
Christ on Parade     
Circle Jerks      
CIV       
Clit 45      
Close Your Eyes     
Corrosion of Conformity (early)    
Code Orange      
Cold As Life     
Cólera       
Comeback Kid      
Consumed       
Converge       
Cripple Bastards      
Cro-Mags       
Crumbsuckers       
Crucifix       
Los Crudos      
Cruel Hand      
       
       
       
D.I.       
D.O.A.       
D.R.I.       
Dag Nasty      
Damage       
Dayglo Abortions      
Dead Kennedys      
Dead Milkmen      
Dead Swans      
Death Before Dishonor     
Death Piggy      
Deep Wound      
Defeater       
Dehumanizers       
Descendents       
Die Kreuzen      
Discharge       
Disembodied       
Down to Nothing     
Dr. Know      
Dropdead       
DYS       
       
       
       
E.Town Concrete      
Earth Crisis      
Econochrist       
Endpoint       
Endwell       
Energy       
English Dogs      
Evergreen Terrace      
Excel       
The Exploited      
Expire       
Extortion       
       
       
       
F-Minus       
The F.U.'s      
Faith       
Fang       
Farewell to Freeway     
The Fartz      
Fear       
The Feederz      
Final Conflict      
Flipper       
FOD       
The Flex      
For Against      
The Freeze      
Fucked Up      
Fugazi       
Full of Hell     
       
       
       
Gang Green      
The Geeks      
Germs       
Get Scared      
GISM       
Give Up the Ghost    
A Global Threat     
G.L.O.S.S.       
Gorilla Biscuits      
Government Issue      
Green Arrows      
Good Clean Fun     
       
       
       
H2O       
Hatebreed       
Have Heart      
Heart Attack      
Heart In Hand     
Heresy       
Higher Power[5]      
Hogan's Heroes      
Hoods       
Hundredth       
Hüsker Dü      
       
       
       
I.R.A.       
The Icemen      
Icepick       
The Idoru      
Ignite       
Ill Repute      
Incendiary       
Infest       
In My Eyes     
Inside Out      
Integrity       
International Superheroes of Hardcore    
Iron Cross      
Iron Mind      
       
       
       
Jawbreaker       
Jello Biafra and the Guantanamo School of Medicine
Jerry's Kids      
JFA       
John Coffey      
Judge       
       
       
       
Kid Dynamite      
Kill Your Idols     
Killing the Dream     
Killing Time      
The Killing Tree     
King Parrot      
Knuckledust       
Knocked Loose      
Kraut       
       
       
       
Lard       
Lay It on the Line   
Leathermouth       
Leftöver Crack      
Life's Blood      
Limp Wrist      
Litmus Green      
The Locust      
       
       
Minor Threat      
       
M.O.D.       
Madball       
Malevolence[6]       
MDC       
The Meatmen      
Meat Puppets (early)     
Melvins (early)      
Middle Class      
Miles Away      
Mindsnare       
Minor Threat      
Minutemen       
Misfits       
The Mob      
Mob 47      
Modern Life Is War    
Moshiach Oi!      
Mouthpiece       
Murphy's Law      
       
       
       
Nails       
Napalm Death (early)     
Necros       
Negative Approach      
Negative FX      
Negazione       
The Nerve Agents     
Neurosis (early)      
Newborn       
New Regime      
The Nip Drivers     
No Bragging Rights     
No Mercy      
No Innocent Victim     
No Redeeming Social Value    
No Trigger      
NOFX (early)      
       
       
       
Off!       
One King Down     
One Life Crew     
Operation Ivy      
Outbreak       
       
       
       
Painstream       
Paint It Black     
Parasites       
Pennywise       
Phinius Gage      
Point of No Return    
Poison Idea      
Project X      
The Proletariat      
Punch       
       
       
       
R.A.M.B.O.       
Raised Fist      
Ratos de Porão     
Rattus       
Raw Power      
Reagan Youth      
Really Red      
Redd Kross      
Refused       
Rotting Out      
The Replacements (early)     
Repulsion       
Revenge of the Psychotronic Man   
Rich Kids on LSD    
Rise Against (early)     
Rites of Spring     
Rorschach       
Rudimentary Peni      
Ruiner       
Rupture       
       
       
       
S.O.A.       
S.O.D.       
Samhain       
Scream       
Septic Death      
Septic Tank      
Shai Hulud      
Sharptooth       
Sheer Terror      
Shelter       
Sick of It All    
Siege       
Silverstein       
Skarhead       
Slapshot       
Snapcase       
SNFU       
SSD       
The Stalin      
Stick to Your Guns    
Straight Faced      
Stray from the Path    
Stretch Arm Strong     
Strike Anywhere      
The Stupids      
Subhumans       
Subhumans       
Subzero       
Suicidal Tendencies      
The Suicide File     
Sworn Enemy      
       
       
       
T.S.O.L.       
Tales of Terror     
Ten Yard Fight     
Terror       
Terveet Kädet      
The Ejected      
The Teen Idles     
This Is Hell     
Thrice       
Throwdown       
To the Wind     
Toe To Toe     
Toxic Reasons      
Tragedy       
Trapped Under Ice     
Trash Talk      
Trial       
       
       
       
Ulrikes Dream      
